,SID,CID,date,attendance
3189,40,9,2018-09-09,attended
3190,40,9,2018-09-16,attended
3191,40,9,2018-09-23,attended
3192,40,9,2018-09-30,attended
3193,40,9,2018-10-07,excused
3194,40,9,2018-10-14,attended
3195,40,9,2018-10-21,attended
3196,40,9,2018-10-28,attended
3197,40,9,2018-11-04,attended
3198,40,9,2018-11-11,excused
3199,40,9,2018-11-18,attended
3200,40,9,2018-11-25,attended
3201,40,9,2018-12-02,attended
3202,40,9,2018-12-09,attended
3203,40,9,2018-12-16,attended
3204,40,9,2018-12-23,attended
3205,40,9,2018-12-30,absent
3206,40,9,2019-01-06,attended
3207,40,9,2019-01-13,attended
3208,40,9,2019-01-20,excused
3209,40,9,2019-01-27,attended
3210,40,9,2019-02-03,attended
3211,40,9,2019-02-10,attended
3212,40,9,2019-02-17,attended
3213,40,9,2019-02-24,attended
3214,40,9,2019-03-03,excused
3215,40,9,2019-03-10,attended
3216,40,9,2019-03-17,attended
3217,40,9,2019-03-24,attended
3218,40,9,2019-03-31,excused
3219,40,9,2019-04-07,attended
3220,40,9,2019-04-14,attended
3221,40,9,2019-04-21,attended
3222,40,9,2019-04-28,attended
3223,40,9,2019-05-05,attended
3224,40,9,2019-05-12,absent
3225,40,9,2019-05-19,attended
3226,40,9,2019-05-26,attended
3227,40,9,2019-06-02,attended
3228,40,9,2019-06-09,attended
3229,40,9,2019-06-16,attended
3230,40,9,2019-06-23,absent
3231,40,9,2019-06-30,attended
3232,40,9,2019-07-07,attended
3233,40,9,2019-07-14,attended
3234,40,9,2019-07-21,absent
3235,40,9,2019-07-28,attended
3236,40,9,2019-08-04,attended
3237,40,9,2019-08-11,attended
3238,40,9,2019-08-18,absent
3239,40,9,2019-08-25,attended
3240,40,9,2019-09-01,attended
3241,40,9,2019-09-08,excused
3242,40,9,2019-09-15,attended
3243,40,9,2019-09-22,attended
3244,40,9,2019-09-29,attended
3245,40,9,2019-10-06,attended
3246,40,9,2019-10-13,attended
3247,40,9,2019-10-20,attended
3248,40,9,2019-10-27,attended
3249,40,9,2019-11-03,attended
3250,40,9,2019-11-10,attended
3251,40,9,2019-11-17,excused
3252,40,9,2019-11-24,attended
3253,40,9,2019-12-01,attended
3254,40,9,2019-12-08,excused
3255,40,9,2019-12-15,attended
3256,40,9,2019-12-22,attended
3257,40,9,2019-12-29,absent
3258,41,7,2017-04-02,excused
3259,41,7,2017-04-09,attended
3260,41,7,2017-04-16,attended
3261,41,7,2017-04-23,attended
3262,41,7,2017-04-30,excused
3263,41,7,2017-05-07,attended
3264,41,7,2017-05-14,attended
3265,41,7,2017-05-21,attended
3266,41,7,2017-05-28,attended
3267,41,7,2017-06-04,attended
3268,41,7,2017-06-11,attended
3269,41,7,2017-06-18,excused
3270,41,7,2017-06-25,attended
3271,41,7,2017-07-02,absent
3272,41,7,2017-07-09,absent
3273,41,7,2017-07-16,attended
3274,41,7,2017-07-23,attended
3275,41,7,2017-07-30,excused
3276,41,7,2017-08-06,attended
3277,41,7,2017-08-13,attended
3278,41,7,2017-08-20,attended
3279,41,7,2017-08-27,attended
3280,41,7,2017-09-03,attended
3281,41,7,2017-09-10,absent
3282,41,7,2017-09-17,attended
3283,41,7,2017-09-24,attended
3284,41,7,2017-10-01,attended
3285,41,7,2017-10-08,excused
3286,41,7,2017-10-15,absent
3287,41,7,2017-10-22,attended
3288,41,7,2017-10-29,attended
3289,41,7,2017-11-05,attended
3290,41,7,2017-11-12,absent
3291,41,7,2017-11-19,attended
3292,41,7,2017-11-26,attended
3293,41,7,2017-12-03,attended
3294,41,7,2017-12-10,absent
3295,41,7,2017-12-17,attended
3296,41,7,2017-12-24,excused
3297,41,7,2017-12-31,attended
3298,41,7,2018-01-07,attended
3299,41,7,2018-01-14,absent
3300,41,7,2018-01-21,attended
3301,41,7,2018-01-28,attended
3302,41,7,2018-02-04,absent
3303,41,7,2018-02-11,attended
3304,41,7,2018-02-18,excused
3305,41,7,2018-02-25,attended
3306,41,7,2018-03-04,attended
3307,41,7,2018-03-11,absent
3308,41,7,2018-03-18,attended
3309,41,7,2018-03-25,attended
3310,41,7,2018-04-01,absent
3311,41,7,2018-04-08,attended
3312,41,7,2018-04-15,absent
3313,41,7,2018-04-22,attended
3314,41,7,2018-04-29,attended
3315,41,7,2018-05-06,attended
3316,41,7,2018-05-13,excused
3317,41,7,2018-05-20,attended
3318,41,7,2018-05-27,attended
3319,41,7,2018-06-03,absent
3320,41,7,2018-06-10,attended
3321,41,7,2018-06-17,absent
3322,41,7,2018-06-24,excused
3323,41,7,2018-07-01,attended
3324,41,7,2018-07-08,attended
3325,41,7,2018-07-15,attended
3326,41,7,2018-07-22,attended
3327,41,7,2018-07-29,attended
3328,41,7,2018-08-05,attended
3329,41,7,2018-08-12,attended
3330,41,7,2018-08-19,attended
3331,41,7,2018-08-26,attended
3332,41,7,2018-09-02,attended
3333,41,7,2018-09-09,attended
3334,41,7,2018-09-16,attended
3335,41,7,2018-09-23,attended
3336,41,7,2018-09-30,attended
3337,41,7,2018-10-07,attended
3338,41,7,2018-10-14,attended
3339,41,7,2018-10-21,excused
3340,41,7,2018-10-28,excused
3341,41,7,2018-11-04,absent
3342,41,7,2018-11-11,attended
3343,41,7,2018-11-18,absent
3344,41,7,2018-11-25,attended
3345,41,7,2018-12-02,attended
3346,41,7,2018-12-09,excused
3347,41,7,2018-12-16,attended
3348,41,7,2018-12-23,attended
3349,41,7,2018-12-30,attended
3350,41,7,2019-01-06,absent
3351,41,7,2019-01-13,absent
3352,41,7,2019-01-20,attended
3353,41,7,2019-01-27,attended
3354,41,7,2019-02-03,attended
3355,41,7,2019-02-10,attended
3356,41,7,2019-02-17,attended
3357,41,7,2019-02-24,excused
3358,41,7,2019-03-03,attended
3359,41,7,2019-03-10,attended
3360,41,7,2019-03-17,attended
3361,41,7,2019-03-24,attended
3362,41,7,2019-03-31,attended
3363,41,7,2019-04-07,attended
3364,41,7,2019-04-14,attended
3365,41,7,2019-04-21,attended
3366,41,7,2019-04-28,attended
3367,41,7,2019-05-05,attended
3368,41,7,2019-05-12,attended
3369,41,7,2019-05-19,absent
3370,41,7,2019-05-26,attended
3371,41,7,2019-06-02,attended
3372,41,7,2019-06-09,attended
3373,41,7,2019-06-16,attended
3374,41,7,2019-06-23,excused
3375,41,7,2019-06-30,attended
3376,41,7,2019-07-07,attended
3377,41,7,2019-07-14,attended
3378,41,7,2019-07-21,attended
3379,41,7,2019-07-28,attended
3380,41,7,2019-08-04,absent
3381,41,7,2019-08-11,attended
3382,41,7,2019-08-18,attended
3383,41,7,2019-08-25,attended
3384,41,7,2019-09-01,excused
3385,41,7,2019-09-08,attended
3386,41,7,2019-09-15,attended
3387,41,7,2019-09-22,attended
3388,41,7,2019-09-29,attended
3389,41,7,2019-10-06,attended
3390,41,7,2019-10-13,attended
3391,41,7,2019-10-20,attended
3392,41,7,2019-10-27,attended
3393,41,7,2019-11-03,attended
3394,41,7,2019-11-10,attended
3395,41,7,2019-11-17,attended
3396,41,7,2019-11-24,attended
3397,41,7,2019-12-01,attended
3398,41,7,2019-12-08,attended
3399,41,7,2019-12-15,attended
3400,41,7,2019-12-22,attended
3401,41,7,2019-12-29,excused
3402,42,6,2017-06-11,attended
3403,42,6,2017-06-18,absent
3404,42,6,2017-06-25,attended
3405,42,6,2017-07-02,attended
3406,42,6,2017-07-09,excused
3407,42,6,2017-07-16,attended
3408,42,6,2017-07-23,attended
3409,42,6,2017-07-30,attended
3410,42,6,2017-08-06,attended
3411,42,6,2017-08-13,attended
3412,42,6,2017-08-20,attended
3413,42,6,2017-08-27,attended
3414,42,6,2017-09-03,attended
3415,42,6,2017-09-10,attended
3416,42,6,2017-09-17,attended
3417,42,6,2017-09-24,attended
3418,42,6,2017-10-01,attended
3419,42,6,2017-10-08,attended
3420,42,6,2017-10-15,excused
3421,42,6,2017-10-22,attended
3422,42,6,2017-10-29,attended
3423,42,6,2017-11-05,attended
3424,42,6,2017-11-12,attended
3425,42,6,2017-11-19,attended
3426,42,6,2017-11-26,absent
3427,42,6,2017-12-03,attended
3428,42,6,2017-12-10,attended
3429,42,6,2017-12-17,absent
3430,42,6,2017-12-24,attended
3431,42,6,2017-12-31,attended
3432,42,6,2018-01-07,attended
3433,42,6,2018-01-14,attended
3434,42,6,2018-01-21,attended
3435,42,6,2018-01-28,absent
3436,42,6,2018-02-04,absent
3437,42,6,2018-02-11,attended
3438,42,6,2018-02-18,attended
3439,42,6,2018-02-25,attended
3440,42,6,2018-03-04,attended
3441,42,6,2018-03-11,attended
3442,42,6,2018-03-18,attended
3443,42,6,2018-03-25,attended
3444,42,6,2018-04-01,attended
3445,42,6,2018-04-08,attended
3446,42,6,2018-04-15,attended
3447,42,6,2018-04-22,attended
3448,42,6,2018-04-29,attended
3449,42,6,2018-05-06,attended
3450,42,6,2018-05-13,absent
3451,42,6,2018-05-20,attended
3452,42,6,2018-05-27,attended
3453,42,6,2018-06-03,attended
3454,42,6,2018-06-10,excused
3455,42,6,2018-06-17,absent
3456,42,6,2018-06-24,attended
3457,42,6,2018-07-01,attended
3458,42,6,2018-07-08,absent
3459,42,6,2018-07-15,absent
3460,42,6,2018-07-22,attended
3461,42,6,2018-07-29,attended
3462,42,6,2018-08-05,absent
3463,42,6,2018-08-12,attended
3464,42,6,2018-08-19,attended
3465,42,6,2018-08-26,attended
3466,42,6,2018-09-02,attended
3467,42,6,2018-09-09,attended
3468,42,6,2018-09-16,attended
3469,42,6,2018-09-23,attended
3470,42,6,2018-09-30,attended
3471,42,6,2018-10-07,attended
3472,42,6,2018-10-14,attended
3473,42,6,2018-10-21,attended
3474,42,6,2018-10-28,attended
3475,42,6,2018-11-04,attended
3476,42,6,2018-11-11,attended
3477,42,6,2018-11-18,attended
3478,42,6,2018-11-25,attended
3479,42,6,2018-12-02,attended
3480,42,6,2018-12-09,attended
3481,42,6,2018-12-16,attended
3482,42,6,2018-12-23,attended
3483,42,6,2018-12-30,excused
3484,42,6,2019-01-06,absent
3485,42,6,2019-01-13,absent
3486,42,6,2019-01-20,excused
3487,42,6,2019-01-27,attended
3488,42,6,2019-02-03,excused
3489,42,6,2019-02-10,attended
3490,42,6,2019-02-17,absent
3491,42,6,2019-02-24,attended
3492,42,6,2019-03-03,attended
3493,42,6,2019-03-10,attended
3494,42,6,2019-03-17,attended
3495,42,6,2019-03-24,attended
3496,42,6,2019-03-31,attended
3497,42,6,2019-04-07,attended
3498,42,6,2019-04-14,attended
3499,42,6,2019-04-21,attended
3500,42,6,2019-04-28,attended
3501,42,6,2019-05-05,absent
3502,42,6,2019-05-12,attended
3503,42,6,2019-05-19,attended
3504,42,6,2019-05-26,attended
3505,42,6,2019-06-02,attended
3506,42,6,2019-06-09,excused
3507,42,6,2019-06-16,excused
3508,42,6,2019-06-23,attended
3509,42,6,2019-06-30,attended
3510,42,6,2019-07-07,attended
3511,42,6,2019-07-14,attended
3512,42,6,2019-07-21,attended
3513,42,6,2019-07-28,attended
3514,42,6,2019-08-04,attended
3515,42,6,2019-08-11,absent
3516,42,6,2019-08-18,attended
3517,42,6,2019-08-25,attended
3518,42,6,2019-09-01,attended
3519,42,6,2019-09-08,attended
3520,42,6,2019-09-15,attended
3521,42,6,2019-09-22,absent
3522,42,6,2019-09-29,attended
3523,42,6,2019-10-06,attended
3524,42,6,2019-10-13,attended
3525,42,6,2019-10-20,excused
3526,42,6,2019-10-27,absent
3527,42,6,2019-11-03,attended
3528,42,6,2019-11-10,attended
3529,42,6,2019-11-17,attended
3530,42,6,2019-11-24,attended
3531,42,6,2019-12-01,absent
3532,42,6,2019-12-08,attended
3533,42,6,2019-12-15,attended
3534,42,6,2019-12-22,attended
3535,42,6,2019-12-29,attended
3536,43,10,2018-01-21,excused
3537,43,10,2018-01-28,attended
3538,43,10,2018-02-04,attended
3539,43,10,2018-02-11,attended
3540,43,10,2018-02-18,attended
3541,43,10,2018-02-25,attended
3542,43,10,2018-03-04,attended
3543,43,10,2018-03-11,excused
3544,43,10,2018-03-18,absent
3545,43,10,2018-03-25,attended
3546,43,10,2018-04-01,attended
3547,43,10,2018-04-08,attended
3548,43,10,2018-04-15,attended
3549,43,10,2018-04-22,attended
3550,43,10,2018-04-29,attended
3551,43,10,2018-05-06,attended
3552,43,10,2018-05-13,attended
3553,43,10,2018-05-20,attended
3554,43,10,2018-05-27,absent
3555,43,10,2018-06-03,attended
3556,43,10,2018-06-10,attended
3557,43,10,2018-06-17,attended
3558,43,10,2018-06-24,attended
3559,43,10,2018-07-01,attended
3560,43,10,2018-07-08,attended
3561,43,10,2018-07-15,excused
3562,43,10,2018-07-22,absent
3563,43,10,2018-07-29,absent
3564,43,10,2018-08-05,attended
3565,43,10,2018-08-12,attended
3566,43,10,2018-08-19,absent
3567,43,10,2018-08-26,attended
3568,43,10,2018-09-02,excused
3569,43,10,2018-09-09,attended
3570,43,10,2018-09-16,absent
3571,43,10,2018-09-23,excused
3572,43,10,2018-09-30,attended
3573,43,10,2018-10-07,attended
3574,43,10,2018-10-14,attended
3575,43,10,2018-10-21,attended
3576,43,10,2018-10-28,attended
3577,43,10,2018-11-04,attended
3578,43,10,2018-11-11,attended
3579,43,10,2018-11-18,attended
3580,43,10,2018-11-25,attended
3581,43,10,2018-12-02,attended
3582,43,10,2018-12-09,excused
3583,43,10,2018-12-16,absent
3584,43,10,2018-12-23,attended
3585,43,10,2018-12-30,attended
3586,43,10,2019-01-06,absent
3587,43,10,2019-01-13,attended
3588,43,10,2019-01-20,attended
3589,43,10,2019-01-27,attended
3590,43,10,2019-02-03,attended
3591,43,10,2019-02-10,attended
3592,43,10,2019-02-17,excused
3593,43,10,2019-02-24,attended
3594,43,10,2019-03-03,attended
3595,43,10,2019-03-10,attended
3596,43,10,2019-03-17,attended
3597,43,10,2019-03-24,attended
3598,43,10,2019-03-31,attended
3599,43,10,2019-04-07,absent
3600,43,10,2019-04-14,excused
3601,43,10,2019-04-21,attended
3602,43,10,2019-04-28,attended
3603,43,10,2019-05-05,attended
3604,43,10,2019-05-12,attended
3605,43,10,2019-05-19,attended
3606,43,10,2019-05-26,attended
3607,43,10,2019-06-02,attended
3608,43,10,2019-06-09,absent
3609,43,10,2019-06-16,absent
3610,43,10,2019-06-23,attended
3611,43,10,2019-06-30,attended
3612,43,10,2019-07-07,attended
3613,43,10,2019-07-14,absent
3614,43,10,2019-07-21,attended
3615,43,10,2019-07-28,excused
3616,43,10,2019-08-04,excused
3617,43,10,2019-08-11,attended
3618,43,10,2019-08-18,attended
3619,43,10,2019-08-25,attended
3620,43,10,2019-09-01,attended
3621,43,10,2019-09-08,attended
3622,43,10,2019-09-15,attended
3623,43,10,2019-09-22,attended
3624,43,10,2019-09-29,attended
3625,43,10,2019-10-06,attended
3626,43,10,2019-10-13,attended
3627,43,10,2019-10-20,attended
3628,43,10,2019-10-27,attended
3629,43,10,2019-11-03,attended
3630,43,10,2019-11-10,attended
3631,43,10,2019-11-17,attended
3632,43,10,2019-11-24,attended
3633,43,10,2019-12-01,absent
3634,43,10,2019-12-08,attended
3635,43,10,2019-12-15,absent
3636,43,10,2019-12-22,attended
3637,43,10,2019-12-29,attended
3638,44,3,2017-09-10,attended
3639,44,3,2017-09-17,attended
3640,44,3,2017-09-24,attended
3641,44,3,2017-10-01,attended
3642,44,3,2017-10-08,attended
3643,44,3,2017-10-15,attended
3644,44,3,2017-10-22,attended
3645,44,3,2017-10-29,absent
3646,44,3,2017-11-05,attended
3647,44,3,2017-11-12,attended
3648,44,3,2017-11-19,attended
3649,44,3,2017-11-26,attended
3650,44,3,2017-12-03,attended
3651,44,3,2017-12-10,attended
3652,44,3,2017-12-17,attended
3653,44,3,2017-12-24,attended
3654,44,3,2017-12-31,attended
3655,44,3,2018-01-07,attended
3656,44,3,2018-01-14,attended
3657,44,3,2018-01-21,attended
3658,44,3,2018-01-28,attended
3659,44,3,2018-02-04,attended
3660,44,3,2018-02-11,attended
3661,44,3,2018-02-18,attended
3662,44,3,2018-02-25,attended
3663,44,3,2018-03-04,attended
3664,44,3,2018-03-11,attended
3665,44,3,2018-03-18,attended
3666,44,3,2018-03-25,attended
3667,44,3,2018-04-01,attended
3668,44,3,2018-04-08,attended
3669,44,3,2018-04-15,attended
3670,44,3,2018-04-22,attended
3671,44,3,2018-04-29,excused
3672,44,3,2018-05-06,attended
3673,44,3,2018-05-13,attended
3674,44,3,2018-05-20,attended
3675,44,3,2018-05-27,attended
3676,44,3,2018-06-03,absent
3677,44,3,2018-06-10,attended
3678,44,3,2018-06-17,attended
3679,44,3,2018-06-24,attended
3680,44,3,2018-07-01,attended
3681,44,3,2018-07-08,attended
3682,44,3,2018-07-15,attended
3683,44,3,2018-07-22,attended
3684,44,3,2018-07-29,attended
3685,44,3,2018-08-05,attended
3686,44,3,2018-08-12,attended
3687,44,3,2018-08-19,attended
3688,44,3,2018-08-26,attended
3689,44,3,2018-09-02,attended
3690,44,3,2018-09-09,attended
3691,44,3,2018-09-16,attended
3692,44,3,2018-09-23,attended
3693,44,3,2018-09-30,attended
3694,44,3,2018-10-07,absent
3695,44,3,2018-10-14,attended
3696,44,3,2018-10-21,attended
3697,44,3,2018-10-28,attended
3698,44,3,2018-11-04,attended
3699,44,3,2018-11-11,attended
3700,44,3,2018-11-18,attended
3701,44,3,2018-11-25,excused
3702,44,3,2018-12-02,attended
3703,44,3,2018-12-09,attended
3704,44,3,2018-12-16,attended
3705,44,3,2018-12-23,excused
3706,44,3,2018-12-30,attended
3707,44,3,2019-01-06,attended
3708,44,3,2019-01-13,attended
3709,44,3,2019-01-20,attended
3710,44,3,2019-01-27,attended
3711,44,3,2019-02-03,attended
3712,44,3,2019-02-10,attended
3713,44,3,2019-02-17,attended
3714,44,3,2019-02-24,attended
3715,44,3,2019-03-03,attended
3716,44,3,2019-03-10,attended
3717,44,3,2019-03-17,attended
3718,44,3,2019-03-24,attended
3719,44,3,2019-03-31,attended
3720,44,3,2019-04-07,attended
3721,44,3,2019-04-14,attended
3722,44,3,2019-04-21,attended
3723,44,3,2019-04-28,attended
3724,44,3,2019-05-05,attended
3725,44,3,2019-05-12,attended
3726,44,3,2019-05-19,attended
3727,44,3,2019-05-26,attended
3728,44,3,2019-06-02,attended
3729,44,3,2019-06-09,absent
3730,44,3,2019-06-16,attended
3731,44,3,2019-06-23,attended
3732,44,3,2019-06-30,attended
3733,44,3,2019-07-07,attended
3734,44,3,2019-07-14,attended
3735,44,3,2019-07-21,attended
3736,44,3,2019-07-28,attended
3737,44,3,2019-08-04,attended
3738,44,3,2019-08-11,attended
3739,44,3,2019-08-18,attended
3740,44,3,2019-08-25,attended
3741,44,3,2019-09-01,attended
3742,44,3,2019-09-08,attended
3743,44,3,2019-09-15,attended
3744,44,3,2019-09-22,attended
3745,44,3,2019-09-29,attended
3746,44,3,2019-10-06,excused
3747,44,3,2019-10-13,attended
3748,44,3,2019-10-20,attended
3749,44,3,2019-10-27,attended
3750,44,3,2019-11-03,attended
3751,44,3,2019-11-10,attended
3752,44,3,2019-11-17,attended
3753,44,3,2019-11-24,attended
3754,44,3,2019-12-01,attended
3755,44,3,2019-12-08,attended
3756,44,3,2019-12-15,attended
3757,44,3,2019-12-22,attended
3758,44,3,2019-12-29,attended
3759,45,8,2017-10-15,attended
3760,45,8,2017-10-22,attended
3761,45,8,2017-10-29,attended
3762,45,8,2017-11-05,attended
3763,45,8,2017-11-12,attended
3764,45,8,2017-11-19,attended
3765,45,8,2017-11-26,attended
3766,45,8,2017-12-03,attended
3767,45,8,2017-12-10,attended
3768,45,8,2017-12-17,attended
3769,45,8,2017-12-24,attended
3770,45,8,2017-12-31,attended
3771,45,8,2018-01-07,attended
3772,45,8,2018-01-14,absent
3773,45,8,2018-01-21,attended
3774,45,8,2018-01-28,attended
3775,45,8,2018-02-04,attended
3776,45,8,2018-02-11,absent
3777,45,8,2018-02-18,excused
3778,45,8,2018-02-25,attended
3779,45,8,2018-03-04,attended
3780,45,8,2018-03-11,attended
3781,45,8,2018-03-18,attended
3782,45,8,2018-03-25,attended
3783,45,8,2018-04-01,excused
3784,45,8,2018-04-08,attended
3785,45,8,2018-04-15,attended
3786,45,8,2018-04-22,attended
3787,45,8,2018-04-29,attended
3788,45,8,2018-05-06,attended
3789,45,8,2018-05-13,attended
3790,45,8,2018-05-20,attended
3791,45,8,2018-05-27,attended
3792,45,8,2018-06-03,attended
3793,45,8,2018-06-10,attended
3794,45,8,2018-06-17,excused
3795,45,8,2018-06-24,attended
3796,45,8,2018-07-01,absent
3797,45,8,2018-07-08,attended
3798,45,8,2018-07-15,attended
3799,45,8,2018-07-22,attended
3800,45,8,2018-07-29,attended
3801,45,8,2018-08-05,excused
3802,45,8,2018-08-12,attended
3803,45,8,2018-08-19,attended
3804,45,8,2018-08-26,absent
3805,45,8,2018-09-02,absent
3806,45,8,2018-09-09,attended
3807,45,8,2018-09-16,attended
3808,45,8,2018-09-23,attended
3809,45,8,2018-09-30,attended
3810,45,8,2018-10-07,attended
3811,45,8,2018-10-14,attended
3812,45,8,2018-10-21,attended
3813,45,8,2018-10-28,attended
3814,45,8,2018-11-04,attended
3815,45,8,2018-11-11,attended
3816,45,8,2018-11-18,attended
3817,45,8,2018-11-25,excused
3818,45,8,2018-12-02,absent
3819,45,8,2018-12-09,attended
3820,45,8,2018-12-16,absent
3821,45,8,2018-12-23,attended
3822,45,8,2018-12-30,attended
3823,45,8,2019-01-06,attended
3824,45,8,2019-01-13,attended
3825,45,8,2019-01-20,attended
3826,45,8,2019-01-27,attended
3827,45,8,2019-02-03,attended
3828,45,8,2019-02-10,attended
3829,45,8,2019-02-17,attended
3830,45,8,2019-02-24,attended
3831,45,8,2019-03-03,attended
3832,45,8,2019-03-10,attended
3833,45,8,2019-03-17,attended
3834,45,8,2019-03-24,attended
3835,45,8,2019-03-31,attended
3836,45,8,2019-04-07,excused
3837,45,8,2019-04-14,attended
3838,45,8,2019-04-21,attended
3839,45,8,2019-04-28,attended
3840,45,8,2019-05-05,attended
3841,45,8,2019-05-12,attended
3842,45,8,2019-05-19,absent
3843,45,8,2019-05-26,attended
3844,45,8,2019-06-02,attended
3845,45,8,2019-06-09,attended
3846,45,8,2019-06-16,attended
3847,45,8,2019-06-23,attended
3848,45,8,2019-06-30,attended
3849,45,8,2019-07-07,attended
3850,45,8,2019-07-14,attended
3851,45,8,2019-07-21,absent
3852,45,8,2019-07-28,attended
3853,45,8,2019-08-04,attended
3854,45,8,2019-08-11,attended
3855,45,8,2019-08-18,excused
3856,45,8,2019-08-25,attended
3857,45,8,2019-09-01,absent
3858,45,8,2019-09-08,absent
3859,45,8,2019-09-15,attended
3860,45,8,2019-09-22,attended
3861,45,8,2019-09-29,attended
3862,45,8,2019-10-06,attended
3863,45,8,2019-10-13,attended
3864,45,8,2019-10-20,attended
3865,45,8,2019-10-27,attended
3866,45,8,2019-11-03,excused
3867,45,8,2019-11-10,excused
3868,45,8,2019-11-17,attended
3869,45,8,2019-11-24,absent
3870,45,8,2019-12-01,attended
3871,45,8,2019-12-08,attended
3872,45,8,2019-12-15,attended
3873,45,8,2019-12-22,absent
3874,45,8,2019-12-29,absent
3875,46,5,2018-02-25,attended
3876,46,5,2018-03-04,attended
3877,46,5,2018-03-11,attended
3878,46,5,2018-03-18,attended
3879,46,5,2018-03-25,attended
3880,46,5,2018-04-01,attended
3881,46,5,2018-04-08,absent
3882,46,5,2018-04-15,attended
3883,46,5,2018-04-22,attended
3884,46,5,2018-04-29,attended
3885,46,5,2018-05-06,attended
3886,46,5,2018-05-13,attended
3887,46,5,2018-05-20,attended
3888,46,5,2018-05-27,attended
3889,46,5,2018-06-03,attended
3890,46,5,2018-06-10,excused
3891,46,5,2018-06-17,attended
3892,46,5,2018-06-24,attended
3893,46,5,2018-07-01,attended
3894,46,5,2018-07-08,absent
3895,46,5,2018-07-15,attended
3896,46,5,2018-07-22,absent
3897,46,5,2018-07-29,absent
3898,46,5,2018-08-05,attended
3899,46,5,2018-08-12,attended
3900,46,5,2018-08-19,attended
3901,46,5,2018-08-26,attended
3902,46,5,2018-09-02,attended
3903,46,5,2018-09-09,excused
3904,46,5,2018-09-16,absent
3905,46,5,2018-09-23,attended
3906,46,5,2018-09-30,attended
3907,46,5,2018-10-07,attended
3908,46,5,2018-10-14,attended
3909,46,5,2018-10-21,attended
3910,46,5,2018-10-28,attended
3911,46,5,2018-11-04,excused
3912,46,5,2018-11-11,attended
3913,46,5,2018-11-18,absent
3914,46,5,2018-11-25,attended
3915,46,5,2018-12-02,excused
3916,46,5,2018-12-09,attended
3917,46,5,2018-12-16,attended
3918,46,5,2018-12-23,excused
3919,46,5,2018-12-30,excused
3920,46,5,2019-01-06,attended
3921,46,5,2019-01-13,absent
3922,46,5,2019-01-20,attended
3923,46,5,2019-01-27,attended
3924,46,5,2019-02-03,attended
3925,46,5,2019-02-10,attended
3926,46,5,2019-02-17,attended
3927,46,5,2019-02-24,attended
3928,46,5,2019-03-03,attended
3929,46,5,2019-03-10,attended
3930,46,5,2019-03-17,attended
3931,46,5,2019-03-24,attended
3932,46,5,2019-03-31,attended
3933,46,5,2019-04-07,attended
3934,46,5,2019-04-14,attended
3935,46,5,2019-04-21,attended
3936,46,5,2019-04-28,excused
3937,46,5,2019-05-05,attended
3938,46,5,2019-05-12,absent
3939,46,5,2019-05-19,excused
3940,46,5,2019-05-26,attended
3941,46,5,2019-06-02,attended
3942,46,5,2019-06-09,excused
3943,46,5,2019-06-16,attended
3944,46,5,2019-06-23,excused
3945,46,5,2019-06-30,attended
3946,46,5,2019-07-07,attended
3947,46,5,2019-07-14,attended
3948,46,5,2019-07-21,attended
3949,46,5,2019-07-28,attended
3950,46,5,2019-08-04,attended
3951,46,5,2019-08-11,attended
3952,46,5,2019-08-18,attended
3953,46,5,2019-08-25,excused
3954,46,5,2019-09-01,attended
3955,46,5,2019-09-08,attended
3956,46,5,2019-09-15,attended
3957,46,5,2019-09-22,attended
3958,46,5,2019-09-29,attended
3959,46,5,2019-10-06,excused
3960,46,5,2019-10-13,attended
3961,46,5,2019-10-20,absent
3962,46,5,2019-10-27,attended
3963,46,5,2019-11-03,attended
3964,46,5,2019-11-10,attended
3965,46,5,2019-11-17,excused
3966,46,5,2019-11-24,attended
3967,46,5,2019-12-01,attended
3968,46,5,2019-12-08,attended
3969,46,5,2019-12-15,absent
3970,46,5,2019-12-22,attended
3971,46,5,2019-12-29,excused
3972,47,7,2017-10-08,attended
3973,47,7,2017-10-15,attended
3974,47,7,2017-10-22,attended
3975,47,7,2017-10-29,attended
3976,47,7,2017-11-05,attended
3977,47,7,2017-11-12,absent
3978,47,7,2017-11-19,attended
3979,47,7,2017-11-26,excused
3980,47,7,2017-12-03,absent
3981,47,7,2017-12-10,attended
3982,47,7,2017-12-17,attended
3983,47,7,2017-12-24,attended
3984,47,7,2017-12-31,attended
3985,47,7,2018-01-07,absent
3986,47,7,2018-01-14,attended
3987,47,7,2018-01-21,absent
3988,47,7,2018-01-28,attended
3989,47,7,2018-02-04,attended
3990,47,7,2018-02-11,attended
3991,47,7,2018-02-18,attended
3992,47,7,2018-02-25,attended
3993,47,7,2018-03-04,attended
3994,47,7,2018-03-11,attended
3995,47,7,2018-03-18,excused
3996,47,7,2018-03-25,attended
3997,47,7,2018-04-01,attended
3998,47,7,2018-04-08,attended
3999,47,7,2018-04-15,attended
4000,47,7,2018-04-22,attended
4001,47,7,2018-04-29,attended
4002,47,7,2018-05-06,attended
4003,47,7,2018-05-13,attended
4004,47,7,2018-05-20,attended
4005,47,7,2018-05-27,attended
4006,47,7,2018-06-03,attended
4007,47,7,2018-06-10,attended
4008,47,7,2018-06-17,attended
4009,47,7,2018-06-24,excused
4010,47,7,2018-07-01,attended
